,,Invention,Invention,Invention,Utility Model,Utility Model,Utility Model
B31,"Making Articles Of Paper, Cardboard Or Material Worked In A Manner Analogous To Paper;  Working Paper, Cardboard Or Material Worked In A Manner Analogous To Paper",,,,,,
B32,层状产品,2134,1584,550,14755,14738,17
B32,Layered Products,,,,,,
B33,增材制造技术,10,9,1,0,0,0
B33,Additive Manufacturing Technology,,,,,,
B41,印刷；排版机；打字机；模印机,2889,1835,1054,16829,16764,65
B41,Printing; Lining Machines; Typewriters; Stamps,,,,,,
B42,装订；图册；文件夹；特种印刷品,255,182,73,3117,3114,3
B42,Bookbinding; Albums; Files; Special Printed Matter,,,,,,
B43,书写或绘图器具；办公用品,234,201,33,3152,3150,2
B43,Writing Or Drawing Implements; Bureau Accessories,,,,,,
B44,装饰艺术,281,255,26,3565,3563,2
B44,Decorative Arts,,,,,,
B60,一般车辆,17448,11427,6021,48321,47749,572
B60,Vehicles In General,,,,,,
B61,铁路,1991,1899,92,5034,5011,23
B61,Railways,,,,,,
B62,无轨陆用车辆 B62B 手动车辆，例如手推车或摇篮车；雪橇,4834,3213,1621,32010,31774,236
B62,Land Vehicles For Travelling Otherwise Than On Rails,,,,,,
B63,船舶或其他水上船只；与船有关的设备,2519,2350,169,7757,7734,23
B63,Ships Or Other Waterborne Vessels; Related Equipment,,,,,,
B64,飞行器；航空；宇宙航行,3924,3422,502,8865,8855,10
B64,Aircraft; Aviation; Cosmonautics,,,,,,
B65,输送；包装；贮存；搬运薄的或细丝状材料,14633,12929,1704,204381,204069,312
B65,Conveying; Packing; Storing; Handling Thin Or Filamentary Material,,,,,,
B66,卷扬；提升；牵引,4098,3428,670,39538,39495,43
B66,Hoisting; Lifting; Hauling,,,,,,
B67,开启或封闭瓶子、罐或类似的容器；液体的贮运,700,544,156,7386,7373,13
B67,"Opening Or Closing Bottles, Jars Or Similar Containers; Liquid Handling",,,,,,
B68,鞍具；家具罩面,38,33,5,180,180,0
B68,Saddlery; Upholstery,,,,,,
B81,微观结构技术,192,166,26,123,108,15
B81,Microstructural Technology,,,,,,
B82,超微技术,23,18,5,5,5,0
B82,Nanotechnology,,,,,,
C 部  Section C,C 部  Section C,116729,103878,12851,93599,93455,144
C01,无机化学,6035,5648,387,2614,2610,4
C01,Inorganic Chemistry,,,,,,
C02,水、废水、污水或污泥的处理,6401,6216,185,37944,37922,22
C02,"Treatment Of Water, Waste Water, Sewage, Or Sludge",,,,,,
C03,玻璃；矿棉或渣棉,3087,2358,729,5298,5265,33
C03,Glass; Mineral Or Slag Wool,,,,,,
C04,水泥；混凝土；人造石；陶瓷；耐火材料〔 4 〕,8834,8497,337,725,723,2
C04,Cements; Concrete; Artificial Stone; Ceramics; Refractories,,,,,,
C05,肥料；肥料制造〔 4 〕,818,795,23,1928,1924,4
C05,Fertilisers; Manufacture Thereof,,,,,,
C06,炸药；火柴,194,190,4,185,185,0
C06,Explosives; Matches,,,,,,
C07,有机化学〔 2 ）,22677,20041,2636,688,686,2
C07,Organic Chemistry,,,,,,
C08,有机高分子化合物；其制备或化学加工；以其为基料的组合物,19979,16653,3326,247,245,2
C08,Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up; Compositions  Based Thereon,,,,,,
C09,染料；涂料；抛光剂；天然树脂；黏合剂；其他类目不包含的组合物；其他类目不包含的材料的应用,10257,8498,1759,2635,2629,6
C09,Dyes; Paints; Polishes; Natural Resins; Adhesives; Compositions Not Otherwise Provided  For; Applications Of Materials Not Otherwise Provided For,,,,,,
C10,石油、煤气及炼焦工业；含一氧化碳的工业气体；燃料；润滑剂；泥煤,2763,2333,430,3662,3661,1
C10,"Petroleum, Gas Or Coke Industries; Technical Gases Containing Carbon Monoxide; Fuels;  Lubricants; Peat",,,,,,
C11,动物或植物油、脂、脂肪物质或蜡；由此制取的脂肪酸；洗涤剂；蜡烛,515,374,141,1732,1729,3
C11,"Animal Or Vegetable Oils, Fats, Fatty Substances Or Waxes; Fatty Acids Therefrom;  Detergents; Candles",,,,,,
C12,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程,18649,17448,1201,12526,12510,16
C12,Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or  Genetic Engineering,,,,,,
C13,糖工业〔 4 〕,27,23,4,151,151,0
C13,Sugar Industry,,,,,,
C14,小原皮；大原皮；毛皮或皮革,308,287,21,940,940,0
C14,Skins; Hides; Pelts Or Leather,,,,,,
C21,铁的冶金,2075,1929,146,7508,7507,1
C21,Metallurgy Of Iron,,,,,,
C22,冶金；黑色或有色金属合金；合金或有色金属的处理,6974,6351,623,1502,1499,3
C22,Metallurgy; Ferrous Or Non-Ferrous Alloys; Treatment Of Alloys Or Non-Ferrous Metals,,,,,,
C23,对金属材料的镀覆；用金属材料对材料的镀覆；表面化学处理；金属材料的扩散处理；真空蒸发法、溅射法、离子注入法或化学气相沉积法的一般镀覆；金属材料腐蚀或积垢的一般抑制,3853,3275,578,6005,5975,30
C23,"Coating Metallic Material; Coating Material With Metallic Material; Chemical Surface  Treatment; Diffusion Treatment Of Metallic Material; Coating By Vacuum Evaporation, By Sputtering, By Ion  Implantation Or By Chemical Vapour Deposition, In General; Inhibiting Corrosion Of Metallic Material Or  Incrustation In General",,,,,,
C25,电解或电泳工艺；其所用设备,2262,2053,209,5800,5793,7
C25,Electrolytic Or Electrophoretic Processes; Apparatus Therefor,,,,,,
C30,晶体生长,960,859,101,1503,1495,8
C30,Crystal Growth,,,,,,
C40,组合技术,61,50,11,6,6,0
C40,Combinatorial Technology,,,,,,
D 部  Section D,D 部  Section D,11440,10088,1352,38436,38335,101
D01,天然或化学的线或纤维；纺纱或纺丝,2053,1740,313,5287,5265,22
D01,Natural Or Man-Made Threads Or Fibres; Spinning,,,,,,
D02,纱线；纱线或绳索的机械整理；整经或络经,429,367,62,1764,1761,3
D02,Yarns; Mechanical Finishing Of Yarns Or Ropes; Warping Or Beaming,,,,,,
D03,织造,484,408,76,2552,2536,16
D03,Weaving,,,,,,
D04,编织；花边制作；针织；饰带；非织造布,1302,1070,232,3212,3186,26
D04,Braiding; Lace-Making; Knitting; Trimmings; Non-Woven Fabrics,,,,,,
D05,缝纫；绣花；簇绒,671,593,78,5098,5093,5
D05,Sewing; Embroidering; Tufting,,,,,,
D06,织物等的处理；洗涤；其他类不包括的柔性材料,5114,4762,352,17151,17135,16
D06,Treatment Of Textiles Or The Like; Laundering; Flexible Materials Not Otherwise Provided  For,,,,,,
D07,绳；除电缆以外的缆索,110,88,22,698,696,2
D07,Ropes; Cables Other Than Electric,,,,,,
D21,造纸；纤维素的生产,1277,1060,217,2674,2663,11
D21,Paper-Making; Production Of Cellulose,,,,,,
E 部  Section E,E 部  Section E,29736,27967,1769,253830,253594,236
E01,道路，铁路和桥梁的建筑,4181,4039,142,38692,38663,29
E01,"Construction of road, railways or bridges",,,,,,
E02,水利工程；基础；疏浚,5835,5352,483,38061,38039,22
E02,Hydraulic engineering; Foundations; Soil-shifting,,,,,,
E03,给水；排水,1186,1087,99,16383,16335,48
E03,Water supply; Sewerage,,,,,,
E04,建筑物,8274,8056,218,101047,101011,36
E04,Building,,,,,,
E05,锁；钥匙；门窗；保险箱,1848,1316,532,14113,14041,72
E05,Locks; Keys; Window or Door fittings;Safes,,,,,,
E06,一般门、窗、百叶窗或卷辊遮帘；梯子,808,752,56,19513,19491,22
E06,Doors; Windows; Shutters; Roller blinds in general; Ladders,,,,,,
E21,土层或岩石的钻进；采矿,7604,7365,239,26021,26014,7
E21,Earth or rock drilling; Mining,,,,,,
F 部  Section F,F 部  Section F,46147,36644,9503,357784,356504,1280
F01,一般机器或发动机；一般的发动机装置；蒸汽机,3094,1842,1252,6762,6691,71
F01,Mechanical engineering; Lighting; Heating; Weapons; Blasting,,,,,,
F02,燃烧发动机；热气或燃烧生成物的发动机装置,4366,2578,1788,6992,6909,83
F02,Machines or engines in general; Engine plants in general; Steam engines,,,,,,
F03,液力机械或液力发动机；风力、弹力或重力发动机；其他类目中不包括的产生机械动力或反推力的发动机,1570,1398,172,4390,4372,18
F03,"Machines or engines for liquids; Wind, spring, or weight motors; Producing mechanical  power or a reactive propulsive thrust, not otherwise provided for",,,,,,
F04,液体变容式机械；液体泵或弹性流体泵,3679,2888,791,28944,28766,178
F04,Prositive-displacement machines for liquids; Pumps for liquids or elastic fluids,,,,,,
F15,流体压力执行机构；一般液压技术和气动技术,1146,1009,137,7420,7332,88
F15,Fluid-pressure actuators; Hydraulics  or pneumatics in general,,,,,,
F16,工程元件或部件；为产生和保持机器或设备的有效运行的一般措施；一般绝热,12256,9288,2968,138672,138234,438
F16,Engineering elements or units;General measures for producing and maintaining effective  functioning of machines or installations;Thermal insulation in general,,,,,,
F17,气体或液体的贮存或分配,1009,832,177,6892,6872,20
F17,Storing or Distributing gases or liquids,,,,,,
F21,照明,1959,1463,496,33154,32976,178
F21,Lighting,,,,,,
F22,蒸汽的发生,317,299,18,2947,2943,4
F22,Steam generation,,,,,,
F23,燃烧设备；燃烧方法,1303,1154,149,11711,11699,12
F23,Combustion apparatus;Combustion processes,,,,,,
F24,供热；炉灶；通风,7428,6865,563,44033,43940,93
F24,Heating; Ranges; Ventilating,,,,,,
F25,制冷或冷却；加热和制冷的联合系统；热泵系统；冰的制造或储存；气体的液化或固化,3267,2586,681,15260,15220,40
F25,Refrigeration or cooling; Combined heating and refrigeration systems;Heat pump systems; Manufacture or storage of ice;Liquefaction or solidification  of gases,,,,,,
F26,干燥,1497,1457,40,22696,22693,3
F26,Drying,,,,,,
F27,炉；窑；烘烤炉；蒸馏炉,728,695,33,11809,11802,7
F27,"Furnaces;Kilns,ovens or retorts",,,,,,
F28,一般热交换,1121,944,177,11319,11281,38
F28,Heat exchange in general,,,,,,
F41,武器,629,580,49,2648,2641,7
F41,Weapons,,,,,,
F42,弹药；爆破,778,766,12,2135,2133,2
F42,Ammunition; Blasting,,,,,,
G 部  Section G,G 部  Section G,221608,201519,20089,299140,298286,854
G01,测量；测试,60421,55838,4583,196338,196045,293
G01,Measuring; Testing,,,,,,
G02,光学技术,11057,7979,3078,19276,19070,206
G02,Optics,,,,,,
G03,摄影术；电影术；利用了光波以外其他波的类似技术；电记录术；全息摄影术,3315,1718,1597,5481,5390,91
G03,Photography; Cinematography; Analogous techniques using waves other than optical  waves;Electrography;Holography,,,,,,
G04,测时学,581,306,275,1377,1365,12
G04,Horology,,,,,,
G05,控制；调节,12135,11017,1118,9289,9259,30
G05,Controlling; Regulating,,,,,,
G06,计算；推算；计数技术,109488,103427,6061,20795,20691,104
G06,Computing; Calculating or counting,,,,,,
G07,核算装置,2508,2184,324,8602,8587,15
G07,Checking-devices,,,,,,
G08,信号装置,5857,5079,778,8809,8800,9
G08,Signaling,,,,,,
G09,教育；密码术；显示；广告；印鉴,7327,6218,1109,24100,24035,65
G09,Educating; Cryptography; Display;Advertising; Seals,,,,,,
G10,乐器；声学,3157,2933,224,2384,2371,13
G10,Musical instruments; Acoustics,,,,,,
G11,信息存储,1641,968,673,1487,1476,11
G11,Information storage,,,,,,
G12,仪器的结构零部件,26,23,3,134,134,0
G12,Instrument details,,,,,,
G16,特别适用于特定应用领域的信息通信技术,3223,3023,200,182,180,2
G16,Information and communication technology specially adapted for specific application  fields,,,,,,
G21,核物理；核工程,872,806,66,886,883,3
G21,Nuclear physics; Nuclear engineering,,,,,,
H 部  Section H,H 部  Section H,156042,131572,24470,286138,284229,1909
H01,基本电气元件,46038,36575,9463,116910,115760,1150
H01,Basic electric elements,,,,,,
H02,发电、变电或配电,22636,20296,2340,87998,87624,374
H02,"Generation,conversion,or distribution of electric power",,,,,,
H03,基本电子电路,3503,2900,603,2926,2874,52
H03,Basic electric circuitry,,,,,,
H04,电通信技术,77380,66491,10889,36002,35847,155
H04,Electric communication technique,,,,,,
H05,其它类不包括的电技术,6485,5310,1175,42302,42124,178
H05,Electric techniques not otherwise provided for,,,,,,
