,,A部 Section A 人类生活必需 Human necessities,B部 Section B 作业、运输 Performing  operations; Transporting,C部 Section C 化学、冶金 Chemistry; Metallurgy,D部 Section D 纺织、造纸 Textiles;  Paper,E部 Section E  固定建筑物 Fixed constructions,F部 Section F 机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部 Section G 物理 Physics,H部 Section H 电学 Electricity,A----H 合计 Total
日本,JP,5594,9357,5710,488,454,3307,10260,12946,48116
吉尔吉斯斯坦,KG,0,0,0,0,1,0,0,0,1
柬埔寨,KH,0,0,0,0,0,1,3,3,7
圣基茨和尼维斯,KN,1,0,1,0,0,0,0,0,2
朝鲜,KP,1,0,0,0,0,1,0,0,2
韩国,KR,2718,1766,1672,149,137,766,4253,6356,17817
科威特,KW,0,0,0,0,0,1,0,0,1
开曼群岛,KY,35,21,36,3,0,1,955,315,1366
哈萨克斯坦,KZ,0,0,3,0,0,0,0,0,3
列支敦士登,LI,48,82,16,0,0,17,16,29,208
斯里兰卡,LK,0,1,1,0,0,0,0,0,2
立陶宛,LT,1,2,0,0,0,1,2,0,6
卢森堡,LU,43,51,51,2,7,21,28,18,221
拉脱维亚,LV,1,0,3,0,0,0,2,2,8
摩洛哥,MA,3,0,2,0,0,0,0,1,6
摩纳哥,MC,3,0,6,0,0,0,0,0,9
马绍尔群岛,MH,0,0,0,0,0,0,0,3,3
北马其顿,MK,1,0,0,0,0,0,0,0,1
马里,ML,2,0,2,0,0,0,1,2,7
马耳他,MT,8,12,1,0,1,0,3,1,26
毛里求斯,MU,2,0,0,0,0,0,0,0,2
墨西哥,MX,13,6,18,0,1,1,1,1,41
马来西亚,MY,16,14,30,1,3,7,19,4,94
荷兰,NL,896,267,524,13,56,121,717,562,3156
挪威,NO,61,73,35,1,15,15,64,37,301
新西兰,NZ,100,11,18,3,7,3,14,10,166
巴拿马,PA,1,3,1,0,0,0,1,0,6
秘鲁,PE,2,1,0,0,1,0,0,0,4
菲律宾,PH,0,1,0,0,0,0,1,4,6
巴基斯坦,PK,1,1,1,0,0,0,1,0,4
波兰,PL,33,18,11,0,4,17,8,2,93
葡萄牙,PT,20,11,11,1,0,3,11,4,61
卡塔尔,QA,0,0,0,0,0,0,1,0,1
罗马尼亚,RO,1,1,0,0,1,0,3,1,7
塞尔维亚,RS,5,0,1,0,0,0,1,1,8
俄罗斯,RU,26,30,33,0,6,14,42,21,172
沙特阿拉伯,SA,11,30,62,0,37,9,45,9,203
塞舌尔,SC,0,2,1,0,1,1,2,9,16
瑞典,SE,362,491,119,51,80,313,355,858,2629
新加坡,SG,217,85,81,4,10,25,872,702,1996
斯洛文尼亚,SI,5,1,3,0,0,4,2,6,21
斯洛伐克,SK,1,1,2,0,0,0,1,1,6
圣马力诺,SM,0,3,0,0,0,0,0,0,3
塞内加尔,SN,0,0,0,0,0,0,1,0,1
泰国,TH,11,15,25,0,2,2,36,5,96
突尼斯,TN,1,0,0,0,0,0,0,0,1
土耳其,TR,19,16,6,20,9,10,20,18,118
特立尼达和多巴哥,TT,0,0,1,0,0,0,0,0,1
乌克兰,UA,3,2,1,0,0,0,0,3,9
美国,US,9826,5076,4775,220,455,2062,10544,9674,42632
乌拉圭,UY,0,2,0,0,0,1,1,0,4
委内瑞拉,VE,1,0,0,0,0,0,0,0,1
英属维尔京群岛,VG,20,6,5,3,0,2,13,8,57
越南,VN,0,1,0,6,0,1,0,0,8
萨摩亚,WS,1,1,3,1,0,0,0,4,10
南非,ZA,8,7,8,1,1,3,5,5,38
