,,2020年,2021年,2020年,2021年,2020年,2021年
厄立特里亚,ER,0,2,0,0,2,2
西班牙,ES,2723,2934,2055,2070,24172,25320
埃塞俄比亚,ET,5,8,7,2,28,28
芬兰,FI,1677,1781,1559,1390,13598,14534
斐济,FJ,13,2,4,8,59,64
法国,FR,10166,10696,8871,7638,109036,113100
加蓬,GA,0,0,0,0,1,1
英国,GB,23105,23762,18560,20312,117343,134458
格林纳达,GD,3,6,0,3,7,10
格鲁吉亚,GE,29,44,28,26,211,233
根西岛,GG,6,5,4,5,76,74
加纳,GH,12,14,21,10,54,61
直布罗陀,GI,22,16,8,14,166,167
格陵兰,GL,4,0,0,2,1,6
冈比亚,GM,0,0,0,0,4,4
几内亚,GN,3,8,9,0,59,55
赤道几内亚,GQ,1,0,1,1,1,2
希腊,GR,155,163,139,137,1668,1732
危地马拉,GT,14,23,10,8,94,104
几内亚比绍,GW,0,1,1,0,1,1
圭亚那,GY,4,1,0,2,13,15
洪都拉斯,HN,5,5,3,3,9,12
克罗地亚,HR,26,56,17,27,456,408
海地,HT,5,0,1,2,32,32
匈牙利,HU,160,207,164,164,1501,1620
印度尼西亚,ID,690,748,632,582,4481,4956
爱尔兰,IE,839,1114,657,746,5558,6236
以色列,IL,844,920,621,611,4811,5286
马恩岛,IM,57,25,29,47,1306,1325
印度,IN,723,664,583,549,4492,4947
伊拉克,IQ,309,482,326,227,1271,1388
伊朗,IR,211,190,132,198,1840,1978
冰岛,IS,55,95,62,69,741,785
意大利,IT,7632,8323,5894,6125,82881,85806
泽西岛,JE,20,86,31,39,355,367
牙买加,JM,7,5,2,7,62,65
约旦,JO,109,131,99,74,469,518
日本,JP,29515,30393,23962,25082,236586,254325
肯尼亚,KE,27,12,17,17,143,152
吉尔吉斯斯坦,KG,28,18,42,10,86,97
柬埔寨,KH,61,36,26,41,135,180
科摩罗,KM,0,0,0,0,0,0
圣基茨和尼维斯,KN,2,1,6,2,31,35
朝鲜,KP,44,73,24,50,168,216
韩国,KR,17826,18332,14266,14910,113332,125690
科威特,KW,33,38,21,16,281,285
开曼群岛,KY,2131,1864,2177,1955,28376,29787
哈萨克斯坦,KZ,160,129,203,112,798,838
老挝,LA,8,3,2,3,25,27
黎巴嫩,LB,64,82,51,37,508,518
圣卢西亚,LC,0,6,2,1,14,15
列支敦士登,LI,159,124,175,86,3040,2663
斯里兰卡,LK,59,70,50,50,296,347
利比里亚,LR,8,5,4,3,29,23
立陶宛,LT,138,248,154,147,680,820
卢森堡,LU,631,694,626,523,9350,8911
拉脱维亚,LV,104,50,39,71,443,480
利比亚,LY,34,45,34,33,115,141
摩洛哥,MA,61,83,61,35,683,671
摩纳哥,MC,259,158,154,177,1984,2136
摩尔多瓦,MD,47,54,35,27,262,273
黑山,ME,2,2,0,1,35,46
马达加斯加,MG,3,0,3,1,40,40
马绍尔群岛,MH,85,119,58,119,907,970
北马其顿,MK,13,11,11,7,104,99
马里,ML,17,33,11,12,89,100
缅甸,MM,177,123,69,159,395,545
蒙古,MN,21,27,21,18,148,166
北马里亚纳群岛,MP,2,0,1,2,3,5
毛里塔尼亚,MR,2,0,0,2,20,22
蒙塞拉特岛,MS,0,0,0,0,2,2
马耳他,MT,112,131,60,93,1260,1361
毛里求斯,MU,157,56,25,117,621,745
马尔代夫,MV,6,2,5,6,13,19
马拉维,MW,3,0,1,1,7,6
墨西哥,MX,419,461,406,276,4760,4812
马来西亚,MY,1888,2054,1572,1556,11484,12747
莫桑比克,MZ,16,12,1,11,26,36
纳米比亚,,1,7,1,1,60,60
尼日尔,NE,0,0,1,0,11,12
尼日利亚,NG,64,66,47,54,281,322
尼加拉瓜,NI,0,0,3,0,9,9
荷兰,NL,4215,3784,2905,3150,35084,37192
挪威,NO,691,1122,518,698,5406,5926
尼泊尔,NP,10,30,10,5,86,94
瑙鲁,NR,0,0,0,0,4,4
新西兰,NZ,2127,1798,1762,1477,11872,13110
阿曼,OM,42,18,18,33,179,209
巴拿马,PA,147,140,78,77,690,748
秘鲁,PE,91,47,47,69,394,456
波利尼西亚,PF,0,1,0,0,9,7
巴布亚新几内亚,PG,1,0,0,1,41,39
菲律宾,PH,305,205,118,173,1394,1545
巴基斯坦,PK,108,132,94,66,717,789
波兰,PL,1121,1261,729,845,5832,6575
波多黎各,PR,21,30,8,16,86,99
巴勒斯坦,PS,9,7,2,7,20,27
葡萄牙,PT,329,334,248,250,3033,3206
帕劳,PW,0,0,0,0,20,20
巴拉圭,PY,7,10,8,5,57,71
卡塔尔,QA,39,295,25,39,349,379
罗马尼亚,RO,109,165,100,67,806,872
塞尔维亚,RS,80,158,40,110,379,493
俄罗斯,RU,2341,2503,2410,1959,19680,20676
卢旺达,RW,2,0,1,0,5,5
沙特阿拉伯,SA,145,207,89,114,1056,1137
所罗门群岛,SB,0,0,0,0,2,2
塞舌尔,SC,765,870,680,834,4539,5163
苏丹,SD,16,4,36,16,121,126
瑞典,SE,2627,3626,2114,2396,20589,22099
新加坡,SG,5103,9279,3867,4669,31126,36075
斯洛文尼亚,SI,202,199,110,171,1401,1439
斯洛伐克,SK,101,74,67,45,1068,1084
塞拉利昂,SL,0,4,0,4,14,18
圣马力诺,SM,23,19,14,23,214,231
塞内加尔,SN,19,7,9,5,58,62
索马里,SO,3,0,3,1,4,5
苏里南,SR,1,1,0,0,1,1
南苏丹,SS,1,0,0,1,0,1
萨尔瓦多,SV,6,2,3,9,16,27
荷属圣马丁,SX,0,0,0,0,3,1
叙利亚,SY,106,93,57,86,438,496
特克斯和凯科斯群岛,TC,4,4,1,5,52,58
乍得,TD,2,3,1,2,16,18
多哥,TG,4,3,49,2,91,88
泰国,TH,2369,1950,1919,1650,12006,13555
塔吉克斯坦,TJ,8,3,7,5,33,35
土库曼斯坦,TM,11,8,5,9,61,70
突尼斯,TN,9,8,7,3,145,147
汤加,TO,0,0,1,0,1,1
土耳其,TR,812,1009,608,649,7870,8270
特立尼达和多巴哥,TT,13,24,0,7,81,87
坦桑尼亚,TZ,12,21,11,19,100,116
乌克兰,UA,410,431,347,290,2284,2424
乌干达,UG,13,8,5,3,25,30
美国,US,50882,65951,38764,45464,370733,406115
乌拉圭,UY,73,52,57,39,274,300
乌兹别克斯坦,UZ,38,23,19,35,96,127
圣文森特和格林纳丁斯,VC,6,0,4,5,16,24
委内瑞拉,VE,52,36,31,41,349,363
英属维尔京群岛,VG,4381,3915,2807,3811,35162,36471
越南,VN,345,344,254,247,1792,1996
瓦努阿图,VU,1,2,4,4,99,101
萨摩亚,WS,28,41,80,32,2510,2275
也门,YE,208,209,101,149,404,559
南非,ZA,293,315,262,236,2961,3105
赞比亚,ZM,3,5,2,3,9,12
津巴布韦,ZW,0,8,0,1,17,18
其他,Others,5,30,4,3,423,341
