,,合计 Total,农业；林业；畜牧业；狩猎；诱捕；捕鱼,焙烤；制作或处理面团的设备；焙烤用面团,屠宰；肉品处理；家禽或鱼的加工,其他类不包含的食品或食料；及其处理,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,服装,帽类制品,鞋类,服饰缝纫用品；珠宝,手携物品或旅行品,刷类制品,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,医学或兽医学；卫生学,救生；消防,运动；游戏；娱乐活动,一般的物理或化学的方法或装置,破碎、磨粉或粉碎；谷物碾磨的预处理,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,用于实现物理或化学工艺过程的离心装置或离心机,一般喷射或雾化；对表面涂覆流体的一般方法,一般机械振动的发生或传递,将固体从固体中分离；分选,清洁,固体废物的处理；被污染土壤的再生,基本上无切削的金属机械加工；金属冲压,铸造；粉末冶金,机床；其他类目中不包括的金属加工,磨削；抛光,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,手动切割工具；切割；切断,木材或类似材料的加工或保存；一般钉钉机或钉U形钉机,加工水泥、黏土或石料,塑料的加工；一般处于塑性状态物质的加工,压力机,纸品或纸板或类似纸的方式加工的材料制品制作；纸或纸板或类似纸的方式加工的材料的加工,层状产品,增材制造技术,印刷；排版机；打字机；模印机,装订；图册；文件夹；特种印刷品,书写或绘图器具；办公用品,装饰艺术,一般车辆,铁路,无轨陆用车辆 B62B手动车辆，例如手推车或摇篮车；雪橇,船舶或其他水上船只；与船有关的设备,飞行器；航空；宇宙航行,输送；包装；贮存；搬运薄的或细丝状材料,卷扬；提升；牵引,开启或封闭瓶子、罐或类似的容器；液体的贮运,鞍具；家具罩面,微观结构技术,超微技术,无机化学,水、废水、污水或污泥的处理,玻璃；矿棉或渣棉,水泥；混凝土；人造石；陶瓷；耐火材料〔4〕,肥料；肥料制造〔4〕,炸药；火柴,有机化学〔2）,有机高分子化合物；其制备或化学加工；以其为基料的组合物,染料；涂料；抛光剂；天然树脂；黏合剂；其他类目不包含的组合物；其他类目不包含的材料的应用,石油、煤气及炼焦工业；含一氧化碳的工业气体；燃料；润滑剂；泥煤,动物或植物油、脂、脂肪物质或蜡；由此制取的脂肪酸；洗涤剂；蜡烛,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程,糖工业〔4〕,小原皮；大原皮；毛皮或皮革,铁的冶金,冶金；黑色或有色金属合金；合金或有色金属的处理,对金属材料的镀覆；用金属材料对材料的镀覆；表面化学处理；金属材料的扩散处理；真空蒸发法、溅射法、离子注入法或化学气相沉积法的一般镀覆；金属材料腐蚀或积垢的一般抑制,电解或电泳工艺；其所用设备,晶体生长,组合技术,天然或化学的线或纤维；纺纱或纺丝,纱线；纱线或绳索的机械整理；整经或络经,织造,编织；花边制作；针织；饰带；非织造布,缝纫；绣花；簇绒,织物等的处理；洗涤；其他类不包括的柔性材料,绳；除电缆以外的缆索,造纸；纤维素的生产,道路，铁路和桥梁的建筑,水利工程；基础；疏浚,给水；排水,建筑物,锁；钥匙；门窗；保险箱,一般门、窗、百叶窗或卷辊遮帘；梯子,土层或岩石的钻进；采矿,一般机器或发动机；一般的发动机装置；蒸汽机,燃烧发动机；热气或燃烧生成物的发动机装置,液力机械或液力发动机；风力、弹力或重力发动机；其他类目中不包括的产生机械动力或反推力的发动机,液体变容式机械；液体泵或弹性流体泵,流体压力执行机构；一般液压技术和气动技术,工程元件或部件；为产生和保持机器或设备的有效运行的一般措施；一般绝热,气体或液体的贮存或分配,照明,蒸汽的发生,燃烧设备；燃烧方法,供热；炉灶；通风,制冷或冷却；加热和制冷的联合系统；热泵系统；冰的制造或储存；气体的液化或固化,干燥,炉；窑；烘烤炉；蒸馏炉,一般热交换,武器,弹药；爆破,测量；测试,光学技术,摄影术；电影术；利用了光波以外其他波的类似技术；电记录术；全息摄影术,测时学,控制；调节,计算；推算；计数技术,核算装置,信号装置,教育；密码术；显示；广告；印鉴,乐器；声学,信息存储,仪器的结构零部件,特别适用于特定应用领域的信息通信技术,核物理；核工程,基本电气元件,发电、变电或配电,基本电子电路,电通信技术,其它类不包括的电技术,其它类不包括的半导体器件、电固态器件
匈牙利,HU,25,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
印度尼西亚,ID,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
爱尔兰,IE,364,3,0,0,1,0,0,0,0,0,0,0,0,56,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,2,0,1,1,12,0,2,0,0,0,0,0,0,0,0,0,13,3,1,0,2,66,2,0,2,0,4,0,2,0,36,31,41,13,1,2
以色列,IL,583,23,0,0,2,0,0,0,1,0,2,0,6,204,1,3,13,0,0,0,1,1,0,1,0,0,2,19,0,1,0,0,0,8,0,0,1,0,8,0,0,0,5,1,4,0,0,6,0,0,0,0,0,3,3,0,0,1,0,14,8,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,2,0,48,36,4,0,2,52,1,0,1,1,0,0,4,0,16,10,6,38,1,0
马恩岛,IM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
印度,IN,167,6,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,8,0,14,0,3,2,1,0,0,0,0,2,0,0,0,1,0,24,11,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,30,0,1,0,0,0,0,2,0,5,1,0,6,1,0
伊朗,IR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
冰岛,IS,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
意大利,IT,1139,15,3,0,9,3,9,2,5,1,5,1,43,73,3,1,19,4,0,0,10,3,0,3,1,21,8,15,1,12,9,1,9,36,0,3,2,0,6,0,0,1,76,4,37,2,14,74,5,2,0,8,0,2,2,4,2,0,1,30,57,5,2,1,13,0,5,1,1,2,1,0,0,19,5,4,9,5,13,0,1,3,3,0,4,21,1,0,17,18,0,14,5,53,3,13,0,5,6,2,1,5,1,1,1,47,13,1,3,9,34,2,2,0,1,6,0,1,0,34,24,10,23,7,1
约旦,JO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本,JP,32929,277,6,1,71,32,28,2,16,63,26,13,106,1193,8,142,322,12,9,5,119,11,12,32,17,166,168,481,117,529,24,9,20,358,10,9,352,0,591,11,18,6,2387,23,472,25,36,495,329,10,0,12,0,248,32,208,127,2,0,451,1641,652,57,18,194,0,0,119,220,311,93,42,0,63,26,25,65,37,139,8,33,10,151,33,22,57,11,8,146,339,13,308,52,668,30,120,4,26,210,154,16,14,53,1,0,1452,1084,833,35,346,1834,99,261,262,302,240,1,52,20,4878,1333,614,1959,417,469
吉尔吉斯斯坦,KG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柬埔寨,KH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
韩国,KR,12623,39,2,1,15,117,6,0,2,5,36,2,135,442,22,20,99,4,10,2,20,2,8,19,3,8,22,41,26,38,3,0,1,36,0,0,61,0,30,3,1,1,561,4,114,13,9,55,6,2,0,3,0,51,17,16,16,5,0,582,513,169,6,5,188,0,0,7,88,89,7,5,0,13,7,0,7,4,155,2,4,3,15,5,10,21,6,0,23,44,3,79,1,96,19,36,3,7,96,144,9,3,10,0,0,254,347,136,3,23,1292,6,29,335,80,530,0,14,10,1950,222,158,1487,95,1014
科威特,KW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
开曼群岛,KY,3367,0,0,0,0,0,1,0,0,0,0,0,1,4,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,6,2546,8,23,1,67,9,0,6,0,30,4,7,551,12,3
列支敦士登,LI,135,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16,0,0,3,4,0,0,0,0,0,0,0,0,3,0,52,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0
斯里兰卡,LK,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
立陶宛,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
卢森堡,LU,187,0,1,0,2,3,0,0,0,1,4,0,1,10,0,0,0,0,0,0,1,0,0,1,0,3,3,3,1,0,2,5,0,1,0,0,4,0,2,0,0,0,13,0,5,0,0,1,0,0,0,0,0,4,1,0,0,0,0,2,0,1,0,0,2,0,0,16,14,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,1,0,0,0,2,1,0,1,1,1,0,3,0,0,0,13,1,0,0,1,8,0,1,1,0,0,0,0,3,5,0,1,13,2,0
摩洛哥,MA,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
摩纳哥,MC,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
马里,ML,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
马耳他,MT,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
毛里求斯,MU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
墨西哥,MX,17,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
马来西亚,MY,31,8,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
荷兰,NL,1996,35,1,9,20,3,0,0,0,0,4,6,23,302,13,2,23,0,1,0,3,3,0,3,1,2,2,0,0,1,25,0,1,27,1,0,10,0,4,0,0,0,42,0,6,6,5,20,11,1,0,4,0,9,2,8,2,2,0,94,112,19,20,14,24,0,1,4,0,14,0,0,0,4,0,0,1,0,6,0,4,2,6,1,5,2,1,30,2,1,1,1,1,15,0,27,2,4,2,1,0,0,0,1,1,114,19,75,0,7,152,0,4,3,77,8,0,46,4,130,23,35,164,62,7
挪威,NO,164,5,0,0,1,0,0,0,0,0,1,0,2,6,1,0,7,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,1,2,15,1,0,0,0,0,3,4,0,2,4,0,7,4,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,10,0,1,2,1,1,1,0,0,0,1,2,1,0,0,2,0,0,5,3,0,0,2,7,1,5,0,0,0,0,1,0,8,4,5,11,0,0
新西兰,NZ,83,2,0,1,0,0,0,0,0,0,0,0,0,36,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,7,0,2,1,0
巴拿马,PA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秘鲁,PE,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菲律宾,PH,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
巴基斯坦,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
波兰,PL,47,2,0,0,1,2,0,0,0,0,0,0,0,5,0,1,2,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
巴勒斯坦,PS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葡萄牙,PT,27,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6,0,0
罗马尼亚,RO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
俄罗斯,RU,126,0,0,0,1,0,0,0,0,0,1,0,0,9,0,2,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,3,1,0,0,0,0,9,3,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,34,1,0,0,0,0,0,0,17,3,2,1,8,0,2
沙特阿拉伯,SA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0
塞舌尔,SC,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
瑞典,SE,1639,32,0,0,1,0,2,6,1,1,0,2,23,79,0,1,10,6,1,16,1,0,1,1,0,5,9,28,1,12,5,3,1,2,0,3,4,0,6,0,0,0,203,3,39,7,1,11,1,0,0,0,0,2,2,0,0,0,0,27,8,3,0,1,16,1,0,4,4,4,0,0,0,0,0,2,0,3,21,0,11,5,22,1,9,17,3,8,14,23,5,5,4,72,1,0,0,1,6,7,0,0,13,1,0,78,8,3,0,5,91,8,12,3,23,0,0,3,3,21,10,24,476,17,0
新加坡,SG,908,5,0,0,2,2,0,0,1,0,1,0,3,39,0,6,4,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,3,0,0,1,0,4,1,0,0,4,0,4,1,4,8,2,1,0,6,0,2,2,0,0,2,0,19,10,3,0,0,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,3,0,3,0,0,0,0,0,0,0,0,0,32,13,1,0,1,253,5,0,3,7,13,0,2,0,79,28,30,252,6,11
斯洛文尼亚,SI,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
斯洛伐克,SK,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
